Date,TSS,CTL,ATL,TSB
2026-03-03,0.0,0.0,0.0,0.0
2026-03-04,20.0,0.47619047619047616,2.857142857142857,-2.380952380952381
2026-03-05,0.0,0.46485260770975056,2.4489795918367347,-1.9841269841269842
2026-03-06,60.0,1.8823561170499945,10.67055393586006,-8.788197818810065
2026-03-07,0.0,1.8375381142630898,9.146189087880051,-7.308650973616961
2026-03-08,0.0,1.7937872067806353,7.8395906467543295,-6.045803439973694
2026-03-09,0.0,1.7510779875715725,6.7196491257894255,-4.968571138217853
2026-03-10,0.0,1.7093856545341541,5.7596992506766505,-4.050313596142496
2026-03-11,20.0,2.144876472283341,7.794027929151415,-5.649151456868074
2026-03-12,0.0,2.093807984848023,6.68059536784407,-4.586787382996047
2026-03-13,0.0,2.043955413780213,5.726224601009203,-3.6822691872289894
2026-03-14,0.0,1.995289808690208,4.908192515150745,-2.912902706460537
2026-03-15,0.0,1.9477829084832983,4.207022155843496,-2.259239247360197
2026-03-16,0.0,1.9014071249479816,3.6060189907229963,-1.7046118657750147
2026-03-17,0.0,1.8561355267349344,3.090873420619711,-1.2347378938847764
2026-03-18,0.0,1.811941823717436,2.649320074816895,-0.8373782510994587
2026-03-19,0.0,1.7688003517241637,2.2708457784144813,-0.5020454266903176
2026-03-20,0.0,1.7266860576354932,1.9464392386409841,-0.2197531810054909
2026-03-21,0.0,1.6855744848346481,1.6683764902637006,0.017197994570947506
2026-03-22,0.0,1.6454417590052517,1.4300369916546005,0.21540476735065117
2026-03-23,0.0,1.6062645742670314,1.2257459928468004,0.380518581420231
2026-03-24,0.0,1.568020179641626,1.0506394224401145,0.5173807572015114
2026-03-25,0.0,1.5306863658406349,0.9005480763772411,0.6301382894633938
2026-03-26,0.0,1.4942414523682388,0.7718983511804924,0.7223431011877464
2026-03-27,0.0,1.4586642749308998,0.6616271581547079,0.7970371167761919
2026-03-28,0.0,1.4239341731468307,0.5671089927040353,0.8568251804427954
2026-03-29,0.0,1.3900309785480967,0.4860934223177445,0.9039375562303522
2026-03-30,0.0,1.35693500286838,0.416651504843781,0.940283498024599
2026-03-31,0.0,1.324627026609609,0.35712986129466945,0.9674971653149396
2026-04-01,0.0,1.2930882878808088,0.30611130968114525,0.9869769781996636
2026-04-02,40.0,2.214681423883647,5.976666836869553,-3.761985412985906
